attendance,study_hours,previous_marks,assignment_score,internal_marks,previous_gpa,participation,backlogs,composite_score,performance
58.1,4.3,70.2,100.0,77.1,8.12,8,1,68.6,Good
60.9,1.9,63.4,87.2,83.6,9.12,6,0,68.6,Good
90.7,2.1,66.3,89.4,65.6,8.61,6,2,62.2,Average
75.4,6.5,99.0,100.0,39.5,7.89,6,1,73.3,Good
85.5,2.3,63.9,79.7,62.3,8.6,7,0,64.1,Average
76.4,2.0,76.2,71.2,70.7,5.59,5,1,63.5,Average
76.4,5.6,57.6,89.5,89.6,5.0,9,2,72.2,Good
89.1,4.3,72.7,95.8,60.9,7.32,4,0,73.0,Good
68.8,2.3,64.2,66.8,78.2,7.2,7,0,65.9,Good
77.3,4.1,61.4,63.2,74.6,6.34,8,1,62.9,Average
69.5,2.2,97.1,76.1,70.7,8.26,5,0,72.6,Good
69.9,5.6,86.8,86.5,84.9,4.49,4,0,70.4,Good
71.7,5.5,70.2,86.0,59.4,6.35,9,2,60.7,Average
79.1,4.7,31.1,52.6,60.8,6.42,5,2,49.1,Poor
69.3,4.4,62.2,100.0,69.8,4.81,5,0,71.1,Good
93.6,6.6,99.0,64.4,59.8,9.19,8,0,79.2,Good
63.5,3.8,64.3,70.0,78.1,5.2,7,1,52.1,Average
73.4,1.9,85.7,60.5,58.6,6.28,3,0,59.4,Average
69.8,4.5,91.1,100.0,73.6,8.37,10,0,82.5,Excellent
96.3,7.1,71.5,77.6,68.4,8.0,5,1,69.0,Good
78.8,2.2,54.5,61.2,73.4,5.55,6,1,50.9,Average
90.4,3.2,29.0,87.0,62.6,8.06,7,0,62.5,Average
55.2,4.5,78.9,85.5,64.6,7.51,8,0,68.0,Good
79.7,3.7,55.0,71.2,71.5,10.0,10,1,66.5,Good
88.5,2.2,70.8,86.6,73.2,7.67,3,1,60.3,Average
77.2,5.6,48.0,61.6,69.9,6.9,8,1,59.9,Average
90.9,7.5,63.8,66.6,97.3,5.9,8,1,79.3,Good
68.8,4.1,68.5,43.8,54.1,6.06,6,0,54.4,Average
95.7,2.4,72.3,54.1,69.0,5.94,8,0,71.3,Good
100.0,1.3,50.2,100.0,44.8,9.02,8,1,57.3,Average
70.9,4.2,87.2,98.6,76.0,7.13,4,0,77.5,Good
69.8,5.6,58.4,75.0,52.2,7.89,10,2,57.2,Average
96.3,4.6,41.2,98.9,65.5,9.22,3,0,65.9,Good
98.1,3.8,66.3,71.6,64.0,3.8,4,1,60.5,Average
68.7,2.9,68.6,70.3,74.5,8.89,6,0,67.5,Good
70.1,2.1,70.6,74.8,61.2,7.18,10,0,63.5,Average
72.1,5.1,89.8,72.1,60.5,7.71,6,1,72.0,Good
57.2,5.3,64.2,70.8,93.0,5.94,6,1,68.5,Good
63.1,1.3,66.1,91.2,74.6,6.04,9,1,54.6,Average
61.9,6.3,50.3,76.3,61.0,7.78,6,1,56.0,Average
65.3,4.7,81.1,84.7,66.0,10.0,4,1,63.2,Average
75.5,6.0,70.9,89.5,96.3,8.5,6,1,72.0,Good
79.3,1.7,61.3,79.8,66.2,8.87,9,1,64.9,Average
97.7,1.6,37.5,59.4,59.0,6.83,7,1,54.8,Average
62.0,3.6,91.1,53.7,59.0,6.26,10,1,59.3,Average
89.8,4.6,48.4,76.2,61.2,6.01,8,3,53.7,Average
73.0,6.7,58.5,71.4,60.5,6.42,5,1,67.8,Good
75.3,4.9,73.7,75.3,49.5,4.23,7,1,67.8,Good
85.4,3.4,48.9,73.8,52.0,6.09,5,0,60.7,Average
60.3,2.2,44.1,100.0,56.7,6.32,5,1,42.7,Poor
81.4,5.8,34.0,54.0,79.5,6.85,10,1,61.5,Average
78.3,2.3,79.5,44.2,63.9,7.28,9,1,62.6,Average
82.9,6.4,59.3,79.0,66.7,7.61,8,1,69.5,Good
80.0,3.3,99.0,68.4,90.3,7.08,5,0,78.2,Good
100.0,6.3,52.1,78.7,90.7,6.29,10,0,79.1,Good
67.1,4.9,53.3,82.8,65.5,4.35,9,1,55.2,Average
68.6,3.6,59.0,93.3,59.9,6.29,10,2,54.1,Average
67.3,3.0,71.9,51.4,56.2,5.74,10,0,58.6,Average
68.2,3.3,60.5,65.6,81.1,7.75,4,0,66.9,Good
67.1,4.5,77.8,80.4,66.7,8.37,4,0,66.5,Good
92.6,3.9,52.3,85.6,63.8,8.41,4,1,65.5,Good
95.9,2.8,45.9,100.0,57.0,8.16,5,1,63.3,Average
68.0,3.5,39.2,88.3,57.7,6.91,7,1,60.3,Average
64.3,3.9,32.4,73.1,75.1,6.37,5,2,48.5,Poor
82.6,0.5,59.7,60.6,49.0,6.05,10,0,49.6,Poor
68.3,4.5,63.2,65.5,85.9,4.99,10,1,65.2,Good
84.9,2.2,57.9,65.1,61.5,8.49,6,0,69.5,Good
78.8,2.0,87.9,83.8,67.6,6.86,10,0,73.4,Good
54.8,1.1,87.6,77.9,48.6,5.36,9,1,52.1,Average
97.7,0.9,62.6,54.1,69.8,5.94,6,1,53.1,Average
100.0,1.6,39.3,67.5,64.7,5.89,2,2,45.6,Poor
67.4,2.7,58.9,87.2,69.2,7.16,6,1,65.9,Good
70.6,6.9,58.4,79.3,93.5,8.59,5,1,69.7,Good
80.0,3.0,57.5,82.5,72.8,6.61,7,0,63.3,Average
80.7,4.1,56.8,79.7,57.3,3.95,7,0,62.1,Average
85.2,4.4,57.5,98.4,58.6,6.84,7,2,60.3,Average
100.0,4.0,61.8,77.5,79.5,6.88,8,1,74.9,Good
73.5,3.7,57.8,68.2,90.8,6.79,4,3,49.9,Poor
64.8,1.9,71.3,60.3,74.5,6.22,7,0,64.5,Average
56.7,6.1,73.8,77.7,81.0,7.4,6,1,67.6,Good
65.8,6.7,53.4,37.4,79.8,7.19,7,1,64.3,Average
75.5,1.1,88.3,71.2,92.7,7.07,8,1,71.8,Good
100.0,2.2,52.3,70.9,38.8,7.68,4,1,55.8,Average
68.8,3.4,42.1,53.5,80.7,6.5,6,2,48.3,Poor
79.1,2.3,74.1,60.1,85.7,6.42,6,0,66.3,Good
75.8,4.6,54.9,86.1,48.6,9.03,5,0,64.6,Average
92.6,2.6,73.1,77.5,55.8,7.88,8,0,63.0,Average
100.0,7.3,29.5,75.5,56.4,8.26,5,0,73.9,Good
68.6,5.7,90.3,78.6,58.3,8.82,5,0,74.6,Good
69.1,4.1,78.8,75.4,62.3,7.84,5,0,63.6,Average
90.6,5.4,44.0,92.6,73.9,8.4,9,1,61.8,Average
85.5,5.6,44.3,75.9,83.9,4.89,6,1,55.6,Average
100.0,2.9,94.8,52.1,87.3,7.39,7,1,75.0,Good
84.2,2.5,56.2,98.5,56.6,6.84,10,2,56.1,Average
71.0,3.9,54.7,79.6,56.5,9.45,6,0,62.1,Average
84.3,5.2,31.7,65.2,91.1,8.4,9,0,69.4,Good
91.5,4.0,62.4,55.2,80.3,6.22,10,0,67.3,Good
87.5,1.3,64.4,79.9,71.3,7.62,9,2,60.3,Average
83.1,2.5,79.4,72.2,77.6,7.33,6,0,69.9,Good
90.9,3.7,45.6,97.6,69.5,7.74,8,0,69.1,Good
92.4,3.7,43.7,68.8,78.4,5.67,4,2,49.9,Poor
95.4,7.0,75.2,61.4,64.6,7.6,5,0,72.9,Good
85.1,1.6,84.1,87.4,74.3,6.78,5,1,68.2,Good
73.7,4.6,42.9,87.9,45.8,7.5,10,1,56.1,Average
78.1,6.2,85.3,76.5,59.0,6.09,5,0,77.3,Good
92.9,7.4,68.6,84.1,59.2,6.28,5,0,84.1,Excellent
64.6,3.2,85.5,73.4,64.0,8.74,4,1,65.2,Good
81.2,4.6,66.9,77.5,55.2,5.63,8,2,64.2,Average
70.5,4.7,27.6,91.5,61.5,5.73,7,2,53.6,Average
76.4,4.1,65.6,83.4,45.8,7.03,9,0,63.8,Average
93.9,3.6,85.0,71.5,78.8,6.02,8,0,75.6,Good
78.7,4.5,53.7,94.3,68.7,5.86,4,3,61.6,Average
76.7,0.5,61.8,38.5,42.7,7.25,5,1,44.1,Poor
57.0,4.9,65.2,100.0,56.6,4.99,9,2,54.0,Average
86.4,4.0,25.0,48.4,75.4,5.69,6,1,48.1,Poor
85.0,3.4,94.7,64.6,61.3,9.98,9,0,73.9,Good
100.0,7.1,53.6,73.4,58.8,7.74,6,1,65.9,Good
71.7,2.7,76.1,71.8,68.8,6.05,5,1,65.9,Good
79.1,3.2,66.6,89.1,75.5,7.69,6,2,62.4,Average
79.5,7.0,88.1,58.1,47.0,7.89,5,0,75.8,Good
98.1,2.5,74.5,77.9,78.8,8.49,5,0,72.0,Good
74.7,2.9,64.2,65.3,57.2,6.92,7,0,57.2,Average
79.9,3.6,53.7,78.4,69.7,8.47,8,0,62.1,Average
84.5,5.1,80.8,73.0,69.4,4.25,3,2,59.0,Average
78.6,4.1,38.0,75.4,61.6,5.62,6,1,56.3,Average
69.7,1.7,78.3,65.8,53.6,7.33,5,1,57.8,Average
78.7,2.9,50.4,66.3,65.4,7.56,5,1,58.2,Average
91.0,2.8,88.0,78.3,96.0,5.82,7,1,67.4,Good
61.6,3.7,70.6,88.2,48.2,7.46,5,2,54.8,Average
77.9,4.5,78.3,65.0,97.1,6.23,9,1,66.9,Good
66.2,4.5,69.3,61.0,65.8,6.71,9,2,58.4,Average
92.7,1.0,40.0,83.2,70.6,8.53,9,0,64.3,Average
54.7,5.5,54.2,73.5,52.6,8.37,6,1,52.9,Average
68.2,4.2,78.8,86.5,57.7,5.7,5,1,66.2,Good
81.3,6.0,70.7,60.4,62.0,5.62,7,0,77.0,Good
97.9,4.5,86.9,47.3,53.3,6.52,6,0,72.9,Good
75.1,5.6,74.5,66.0,66.7,7.06,5,1,64.9,Average
68.2,4.5,52.5,62.5,63.5,6.18,4,2,50.0,Average
100.0,6.0,55.3,72.8,99.6,8.56,6,0,78.1,Good
55.7,4.6,69.6,64.4,51.3,7.59,6,1,54.1,Average
45.2,3.6,31.0,85.1,71.6,7.67,8,1,52.2,Average
82.2,7.4,94.8,69.7,74.0,5.33,8,0,76.3,Good
69.0,5.2,75.1,76.3,52.9,8.73,9,0,63.2,Average
61.7,4.7,87.6,76.4,81.0,3.15,4,1,65.0,Good
85.9,1.8,42.7,76.9,63.6,8.27,7,1,56.4,Average
79.4,1.7,87.9,73.6,30.1,8.41,5,0,60.3,Average
68.1,4.3,99.0,81.7,80.6,6.49,4,0,70.1,Good
58.1,4.0,46.9,62.1,52.1,8.88,6,0,57.0,Average
88.2,2.8,80.3,95.0,53.2,7.01,9,0,68.1,Good
85.1,4.0,68.0,70.5,81.0,7.19,6,1,66.0,Good
74.6,6.3,43.3,54.3,64.4,7.58,10,0,70.5,Good
100.0,4.9,75.9,76.8,84.7,10.0,8,0,83.7,Excellent
61.0,2.0,81.3,61.2,89.4,8.98,6,0,61.5,Average
54.6,3.6,58.4,84.0,59.7,8.08,9,2,49.5,Poor
66.3,2.5,86.7,100.0,82.7,5.82,7,0,72.3,Good
75.4,3.2,41.3,62.2,57.9,7.3,5,1,47.2,Poor
79.4,3.1,44.1,79.0,100.0,5.96,10,0,60.2,Average
72.6,3.0,70.2,47.7,58.9,8.25,7,0,63.0,Average
80.9,1.8,68.4,80.8,86.4,7.3,7,0,69.5,Good
58.5,3.6,56.5,60.7,83.5,5.53,5,1,56.8,Average
96.2,2.9,81.0,64.6,75.1,7.21,9,1,69.9,Good
74.8,0.5,76.5,57.5,59.3,5.91,8,1,54.0,Average
91.6,7.1,81.7,85.0,67.6,7.31,8,0,79.1,Good
80.8,5.5,66.0,89.1,35.5,5.9,5,1,63.7,Average
82.4,3.2,77.6,74.4,73.6,7.14,8,0,76.0,Good
84.0,3.8,60.9,61.0,75.6,8.15,8,2,58.0,Average
82.3,1.9,99.0,97.8,72.1,7.03,5,0,71.1,Good
85.0,6.5,55.0,62.7,22.4,6.55,4,1,52.6,Average
94.6,6.8,99.0,41.6,49.7,7.38,8,0,73.3,Good
78.8,4.1,68.6,80.9,58.0,8.08,3,0,67.5,Good
85.9,5.4,46.0,57.4,74.7,5.55,7,2,49.2,Poor
74.7,4.1,89.9,88.8,74.6,7.46,6,0,76.7,Good
96.2,1.7,70.0,68.3,67.3,8.94,9,1,67.2,Good
66.5,3.1,81.6,83.1,80.2,7.9,6,0,64.0,Average
100.0,4.0,87.6,95.0,53.6,7.18,9,0,74.6,Good
75.4,3.1,73.4,55.9,79.8,8.0,5,1,62.3,Average
56.0,3.5,58.5,65.5,77.6,7.73,8,1,57.1,Average
77.8,3.7,83.6,72.9,76.0,8.16,10,0,75.6,Good
66.5,3.7,68.0,97.1,67.1,4.27,4,0,64.1,Average
87.8,3.9,79.0,64.1,99.3,4.93,7,1,74.3,Good
66.9,2.1,33.5,65.1,77.9,8.51,10,1,52.0,Average
69.8,2.7,75.2,81.2,54.5,4.99,7,0,59.0,Average
49.5,1.7,57.8,65.3,74.0,7.66,7,1,48.0,Poor
69.7,5.4,94.5,76.3,82.0,6.61,8,0,79.8,Good
42.1,0.5,78.0,50.7,60.6,5.71,7,0,50.8,Average
53.8,5.6,71.8,100.0,87.4,7.59,3,0,74.6,Good
86.6,6.0,75.8,53.8,76.1,7.38,9,0,76.6,Good
87.0,3.3,52.0,69.2,32.5,10.0,2,0,51.7,Average
82.0,0.5,94.0,73.5,74.8,6.23,6,1,59.7,Average
62.5,3.2,99.0,100.0,63.5,9.12,9,0,71.8,Good
75.3,3.7,74.3,54.1,78.6,7.59,6,0,64.1,Average
75.9,2.2,93.4,100.0,85.1,6.17,5,0,72.9,Good
59.8,3.0,58.9,85.4,73.1,8.22,8,0,67.5,Good
97.0,6.2,55.2,80.3,96.6,7.89,5,1,78.4,Good
88.3,4.9,68.7,59.2,67.1,7.15,4,0,67.3,Good
72.9,2.3,75.0,82.6,80.0,7.47,7,0,67.7,Good
76.4,1.2,61.7,63.1,82.9,6.26,6,0,58.1,Average
78.9,3.3,76.6,93.0,68.4,5.94,4,1,65.5,Good
47.4,3.5,72.9,59.4,82.5,8.16,8,0,64.1,Average
72.5,4.6,52.0,72.3,60.5,6.79,7,1,61.5,Average
66.5,2.9,76.3,65.7,63.2,6.99,6,1,61.6,Average
62.0,4.6,81.8,59.2,49.0,7.49,6,0,55.5,Average
72.1,6.9,70.7,85.1,73.9,7.47,7,1,70.9,Good
100.0,5.1,86.4,82.0,75.2,5.1,9,0,84.6,Excellent
85.0,3.7,48.5,92.1,88.9,8.9,6,1,65.7,Good
68.0,3.5,75.5,47.3,82.7,7.27,8,1,65.7,Good
84.0,3.2,49.3,90.0,65.4,6.82,8,3,52.3,Average
95.6,5.7,50.2,100.0,51.1,7.7,8,1,69.0,Good
88.9,2.8,57.9,67.2,76.9,7.43,7,2,54.3,Average
76.8,3.9,52.9,100.0,87.8,8.17,5,0,67.1,Good
66.9,3.9,59.2,70.1,82.1,7.85,6,1,63.9,Average
85.8,3.0,64.6,53.4,87.4,8.1,7,2,62.8,Average
81.5,1.6,81.4,69.4,66.6,8.99,10,0,68.9,Good
88.5,4.3,62.9,89.7,62.5,8.34,6,2,59.0,Average
84.9,3.7,42.6,61.4,58.2,6.88,8,0,60.1,Average
90.7,4.6,86.2,65.0,69.1,5.53,6,1,73.1,Good
68.5,2.9,54.6,82.9,68.7,9.43,7,1,66.2,Good
94.4,5.8,67.1,74.0,73.3,6.77,10,0,75.0,Good
78.8,2.4,75.1,82.8,67.9,6.44,8,1,57.8,Average
100.0,6.5,71.2,77.6,67.9,4.67,4,0,77.9,Good
66.4,1.0,85.5,81.2,57.6,7.57,5,0,61.6,Average
100.0,4.5,75.7,67.5,85.1,7.31,9,0,80.9,Excellent
78.8,4.6,54.2,77.5,71.2,4.98,7,1,62.4,Average
66.9,2.5,99.0,60.1,67.2,7.73,4,2,55.7,Average
69.2,4.5,71.1,93.3,58.0,6.4,5,0,67.6,Good
71.5,5.8,65.6,64.5,48.7,10.0,8,1,68.3,Good
81.9,0.5,83.4,90.9,90.9,6.3,8,0,70.7,Good
83.3,4.6,72.0,70.5,78.9,6.49,7,1,64.0,Average
68.0,0.5,74.4,77.0,44.0,5.88,10,0,51.9,Average
75.7,2.3,99.0,66.6,82.2,8.89,8,0,71.3,Good
100.0,6.4,63.6,58.8,84.8,6.58,6,0,74.1,Good
100.0,2.9,62.9,47.8,72.0,6.09,5,1,63.3,Average
82.1,1.9,69.9,58.2,95.6,8.09,5,2,55.4,Average
76.5,3.5,85.1,69.1,73.5,5.17,7,0,74.4,Good
77.7,7.1,43.9,77.2,47.3,7.98,6,0,61.0,Average
84.6,0.9,36.6,89.2,75.8,9.59,10,1,67.1,Good
61.7,2.1,58.6,67.3,73.9,7.89,9,2,58.4,Average
72.4,6.2,41.9,60.8,60.3,7.99,8,0,63.6,Average
52.6,6.8,61.2,52.4,79.2,8.32,4,0,59.3,Average
81.6,3.6,76.0,81.2,43.3,9.49,5,0,67.5,Good
85.1,1.8,53.7,94.7,85.8,8.79,9,1,64.5,Average
69.2,7.2,45.2,93.0,56.0,7.72,5,1,59.0,Average
98.0,6.4,69.1,84.6,54.2,8.37,9,0,78.7,Good
58.8,4.9,81.8,83.6,68.2,5.86,7,0,66.2,Good
55.5,2.5,40.9,99.5,76.9,8.19,7,1,53.9,Average
79.1,3.7,81.1,79.0,72.6,5.69,5,2,61.1,Average
90.7,3.5,81.1,83.7,58.1,6.59,6,0,69.2,Good
99.6,4.3,83.3,69.2,61.9,2.78,7,1,74.2,Good
69.6,6.1,87.5,53.6,51.9,7.66,9,0,68.3,Good
91.1,5.2,99.0,63.7,66.4,6.2,5,0,77.8,Good
75.5,2.1,62.3,73.9,87.2,8.66,6,1,62.9,Average
73.6,6.0,69.8,74.9,69.9,7.65,7,2,65.2,Good
88.4,4.3,61.3,100.0,83.8,8.67,8,0,78.3,Good
85.1,4.9,68.0,75.2,93.3,5.58,5,2,68.2,Good
53.9,6.1,92.5,91.7,60.6,8.55,4,0,74.5,Good
96.7,2.0,46.5,67.5,67.0,10.0,8,1,61.5,Average
95.3,3.7,54.2,69.3,100.0,8.17,3,2,63.6,Average
67.2,2.9,90.0,54.1,93.1,8.21,9,1,66.9,Good
81.5,1.3,84.3,62.9,43.2,7.34,6,0,58.1,Average
82.9,4.4,62.2,81.9,76.2,6.37,3,1,64.3,Average
79.6,7.8,81.7,74.1,70.0,8.17,6,0,79.9,Good
68.3,0.9,73.5,88.1,83.2,4.99,7,0,65.4,Good
66.6,3.7,92.0,76.7,58.1,6.52,5,0,68.4,Good
75.6,4.8,69.2,68.7,56.6,4.62,7,0,63.7,Average
92.4,4.0,84.4,100.0,59.2,6.11,8,0,75.9,Good
83.6,3.6,99.0,72.6,60.8,8.0,6,0,72.0,Good
70.8,1.7,77.6,91.4,83.0,7.81,5,2,61.9,Average
86.8,4.2,68.8,68.0,51.1,7.17,6,1,61.5,Average
36.1,2.6,79.6,84.6,60.0,7.34,9,1,57.2,Average
92.1,0.5,62.2,87.9,41.4,4.46,10,3,51.0,Average
51.6,5.7,99.0,77.1,86.1,6.58,2,0,71.0,Good
70.9,5.3,70.9,38.7,90.3,6.15,9,1,66.2,Good
60.3,3.9,63.6,74.3,64.8,6.18,7,1,58.0,Average
57.9,4.2,54.6,92.5,65.2,7.94,8,0,71.5,Good
92.3,5.5,85.6,81.9,77.3,5.9,5,0,77.4,Good
69.5,4.2,81.9,80.7,93.6,6.25,3,0,74.7,Good
80.9,5.2,60.0,48.2,76.5,4.18,8,0,64.8,Average
75.3,3.3,77.2,63.2,58.8,6.69,5,0,59.0,Average
82.7,5.9,43.9,80.2,44.1,5.58,4,3,47.8,Poor
77.1,4.3,71.0,80.2,52.2,7.21,4,1,65.2,Good
58.0,4.1,75.2,92.2,71.2,5.77,8,1,62.5,Average
89.9,1.8,95.3,71.8,59.5,7.25,7,0,62.7,Average
69.1,4.3,55.7,80.1,73.1,6.9,8,0,65.7,Good
54.2,2.5,47.5,74.2,61.2,9.44,8,1,49.1,Poor
70.0,2.8,53.7,59.2,53.1,7.8,6,1,53.0,Average
97.0,2.5,46.6,40.2,51.2,4.52,6,0,59.6,Average
87.9,2.1,89.4,80.5,95.0,5.33,5,0,76.6,Good
71.1,7.2,92.8,76.6,84.2,7.18,6,0,85.9,Excellent
71.1,5.9,73.1,64.7,97.7,5.8,5,0,70.8,Good
71.5,6.9,87.5,49.7,78.6,2.94,7,1,66.7,Good
100.0,1.8,70.1,83.4,63.1,8.99,9,1,63.7,Average
81.3,3.9,66.5,70.0,91.2,8.11,5,1,64.7,Average
82.0,1.7,62.7,82.4,69.5,7.83,9,0,62.7,Average
90.4,2.7,63.0,100.0,73.5,6.25,7,0,66.0,Good
79.3,2.3,43.2,41.9,69.3,7.7,7,2,52.4,Average
72.4,5.8,72.2,63.5,22.8,6.11,3,1,48.6,Poor
73.3,3.2,67.4,70.9,95.7,7.39,3,1,68.7,Good
75.0,5.5,79.9,95.8,77.9,5.81,7,2,72.6,Good
75.5,4.8,69.5,49.5,75.3,9.22,8,2,62.7,Average
86.2,7.5,65.4,100.0,69.0,4.9,5,0,72.8,Good
76.7,1.4,54.1,76.0,72.6,8.83,10,2,49.7,Poor
86.3,5.8,69.2,72.6,60.4,7.15,8,1,66.2,Good
74.9,5.6,79.8,71.0,79.9,6.41,5,0,75.1,Good
77.1,2.2,49.7,67.5,49.1,7.33,7,0,56.5,Average
48.0,5.4,69.4,89.7,73.0,8.13,10,1,62.1,Average
88.8,4.3,71.7,58.0,79.0,9.01,4,2,67.2,Good
80.9,3.4,56.5,79.2,66.8,7.54,8,2,63.9,Average
90.0,2.5,58.6,68.2,75.9,5.85,6,1,59.6,Average
35.5,2.6,71.7,62.6,54.1,7.18,8,0,54.5,Average
100.0,7.1,49.9,100.0,54.5,9.64,9,0,73.1,Good
74.0,3.8,73.6,80.3,73.8,8.99,6,0,69.3,Good
91.5,5.1,53.7,83.2,80.9,8.37,9,0,76.4,Good
61.4,2.5,85.0,91.1,40.0,8.21,10,1,62.6,Average
84.6,2.6,99.0,52.7,78.4,8.08,7,0,71.0,Good
61.3,5.5,54.2,100.0,61.3,8.72,8,1,63.6,Average
67.3,1.6,76.5,36.4,66.9,6.46,5,0,54.7,Average
100.0,3.1,56.4,62.5,48.6,5.2,7,0,60.8,Average
73.3,3.9,84.7,67.1,56.4,7.2,6,0,68.7,Good
79.0,4.0,47.8,82.7,85.5,5.96,8,2,52.2,Average
88.2,3.5,75.7,77.3,70.5,5.62,9,0,70.8,Good
82.9,4.4,54.0,71.5,63.9,6.09,6,0,65.5,Good
78.1,4.9,64.7,73.8,68.1,10.0,10,2,62.3,Average
81.1,5.0,51.5,59.3,77.8,7.29,10,4,49.9,Poor
100.0,2.2,81.2,51.5,77.0,7.61,8,1,65.2,Good
75.2,3.3,54.6,84.9,68.8,5.39,5,0,60.8,Average
78.8,5.7,76.8,84.4,87.5,4.52,5,0,74.8,Good
90.7,5.2,62.5,97.8,85.5,5.95,5,2,68.3,Good
91.5,1.6,66.2,62.1,76.6,9.11,8,1,56.0,Average
92.6,4.4,70.4,84.4,70.9,7.57,4,1,71.4,Good
84.9,0.6,55.8,69.7,80.5,7.94,8,0,61.6,Average
60.0,3.9,71.4,91.9,75.0,8.13,4,0,74.8,Good
98.9,6.8,92.5,89.3,87.0,6.27,8,0,83.4,Excellent
60.0,2.3,55.6,77.2,84.4,9.04,7,1,55.9,Average
80.2,2.5,86.7,68.9,53.7,6.21,9,0,65.9,Good
65.4,5.0,92.0,88.4,52.6,9.07,9,2,67.8,Good
75.1,1.3,54.9,83.7,58.8,7.72,9,0,53.6,Average
80.6,2.8,44.7,63.7,85.6,4.6,9,2,50.2,Average
80.5,4.8,72.8,54.1,44.8,6.05,7,0,65.6,Good
81.9,2.8,59.2,69.7,76.3,4.6,4,1,54.6,Average
98.6,3.4,97.9,96.7,75.8,8.73,4,0,86.7,Excellent
82.3,5.0,68.6,91.2,88.6,7.07,2,1,68.8,Good
72.6,4.5,55.2,57.3,72.9,3.98,4,1,52.5,Average
89.5,4.2,49.6,56.5,48.5,7.63,7,0,63.4,Average
92.7,3.3,85.4,93.1,54.7,6.35,5,1,74.0,Good
58.8,4.4,58.9,57.0,51.1,5.02,6,1,53.0,Average
84.4,3.6,68.7,81.6,61.4,9.45,7,2,66.8,Good
85.8,4.5,83.3,64.8,67.1,7.25,6,1,73.8,Good
71.8,3.0,60.3,98.3,51.4,6.69,4,2,51.0,Average
95.3,3.5,67.3,62.4,93.5,6.54,6,0,75.1,Good
73.9,2.2,67.7,91.2,48.8,4.98,5,0,55.0,Average
77.8,3.7,78.9,76.8,91.5,5.27,6,2,65.4,Good
73.6,2.5,77.5,77.8,89.0,8.9,9,0,72.1,Good
76.2,2.0,64.5,44.4,84.4,6.44,6,0,64.8,Average
60.7,4.2,69.0,41.0,58.9,7.13,10,1,60.2,Average
55.8,4.1,62.1,70.7,75.5,4.24,9,0,63.5,Average
98.3,5.1,44.4,77.7,49.6,5.25,5,1,61.1,Average
64.1,3.1,72.1,57.1,84.6,7.95,4,2,57.8,Average
62.1,4.5,98.3,57.7,68.8,7.63,6,1,66.3,Good
45.9,4.7,53.9,82.4,63.5,9.55,9,1,58.6,Average
67.1,4.5,55.6,82.4,50.4,8.98,6,1,64.4,Average
57.5,2.5,54.1,71.9,30.4,6.78,8,1,53.1,Average
99.0,4.0,79.6,85.7,53.4,7.76,9,0,74.7,Good
90.1,4.4,75.2,56.4,87.8,6.66,5,0,73.0,Good
66.4,3.8,65.5,68.7,63.6,9.98,5,1,60.9,Average
100.0,0.5,53.3,98.7,67.3,8.71,8,1,57.8,Average
89.7,4.1,69.5,75.0,80.5,7.34,7,1,67.8,Good
71.5,7.3,43.0,75.9,98.9,7.38,5,2,69.5,Good
41.0,3.2,70.3,100.0,91.2,9.12,6,1,61.4,Average
100.0,2.6,81.9,53.0,54.4,7.91,6,0,75.2,Good
56.5,4.4,48.0,85.9,38.9,9.28,3,2,53.1,Average
53.0,4.3,43.5,99.0,100.0,4.03,8,2,58.0,Average
90.3,5.7,93.3,69.1,100.0,7.75,6,0,85.6,Excellent
100.0,1.8,58.2,86.9,73.0,6.38,1,1,58.3,Average
95.4,5.0,86.2,59.3,49.7,9.56,6,0,72.8,Good
83.9,4.7,65.5,63.7,85.4,9.26,5,0,77.1,Good
84.3,3.6,65.4,79.8,68.3,7.15,10,2,59.7,Average
87.9,4.3,75.0,86.0,68.2,9.25,5,2,70.2,Good
86.6,5.4,53.9,90.8,84.3,9.6,4,1,66.0,Good
79.9,5.2,70.1,97.5,75.3,7.2,8,1,67.7,Good
77.5,2.0,61.9,73.0,51.0,10.0,5,2,59.9,Average
75.1,5.1,46.9,91.9,64.8,7.06,5,3,53.8,Average
65.4,3.7,73.4,68.9,80.6,6.8,8,1,61.5,Average
72.1,3.9,63.8,87.5,78.2,8.31,4,1,69.6,Good
52.3,3.9,65.5,77.1,74.2,6.6,4,1,62.1,Average
74.6,3.6,48.6,80.7,84.9,7.22,10,0,70.3,Good
62.2,5.7,93.5,80.4,64.2,9.07,8,0,73.7,Good
60.5,3.7,82.0,49.9,72.9,7.13,6,1,58.9,Average
78.5,2.0,83.4,57.1,20.0,4.73,6,1,52.3,Average
95.5,3.2,63.1,75.5,62.8,7.61,8,2,63.3,Average
88.9,4.1,40.3,48.7,82.2,6.13,8,0,60.7,Average
54.0,5.8,99.0,86.5,63.8,8.31,5,0,75.1,Good
62.1,4.8,67.0,87.1,62.5,8.07,7,0,68.6,Good
89.2,2.4,56.0,78.9,53.3,9.16,5,0,68.1,Good
62.2,7.8,74.7,57.2,86.1,8.37,6,2,69.1,Good
72.9,4.2,86.7,94.7,78.8,8.63,7,0,71.9,Good
83.7,5.8,67.6,100.0,83.2,6.16,6,1,72.4,Good
62.4,3.6,88.5,76.2,42.4,8.23,8,0,62.7,Average
